County,Town,Population,2010 Diversity Index,2000 Diversity Index,Points change,Percentage change
,,,,,,
Atlantic County,Absecon,8164,45,33,12,36.36
Atlantic County,Atlantic,34009,81,77,4,5.19
Atlantic County,Brigantine,9213,30,36,-6,-16.67
Atlantic County,Buena,4068,59,52,7,13.46
Atlantic County,Buena Vista,7258,45,44,1,2.27
Atlantic County,Corbin,489,10,16,-6,-37.50
Atlantic County,Egg Harbor City,3722,66,61,5,8.20
Atlantic County,Egg Harbor Township,41070,56,40,16,40.00
Atlantic County,Estell Manor,1732,8,13,-5,-38.46
Atlantic County,Folsom,1850,25,19,6,31.58
Atlantic County,Galloway,36083,53,43,10,23.26
Atlantic County,Hamilton,25411,58,50,8,16.00
Atlantic County,Hammonton town,13192,44,32,12,37.50
Atlantic County,Linwood,7054,17,12,5,41.67
Atlantic County,Longport,894,4,4,0,0.00
Atlantic County,Margate,6308,11,12,-1,-8.33
Atlantic County,Mullica,5705,42,43,-1,-2.33
Atlantic County,Northfield,8375,31,20,11,55.00
Atlantic County,Pleasantville,15795,77,67,10,14.93
Atlantic County,Port Republic,1107,12,10,2,20.00
Atlantic County,Somers Point,10345,43,31,12,38.71
Atlantic County,Ventnor,9790,51,48,3,6.25
Atlantic County,Weymouth,2697,21,20,1,5.00
Burlington County,Bass River,1438,10,6,4,66.67
Burlington County,Beverly,2508,59,53,6,11.32
Burlington County,Bordentown City,3878,35,35,0,0.00
Burlington County,Bordentown Township,11187,47,24,23,95.83
Burlington County,Burlington City,9693,58,49,9,18.37
Burlington County,Burlington Township,22050,61,51,10,19.61
Burlington County,Chesterfield,7313,67,64,3,4.69
Burlington County,Cinnaminson,15416,23,18,5,27.78
Burlington County,Delanco,4243,34,11,23,209.09
Burlington County,Delran,16437,36,33,3,9.09
Burlington County,Eastampton,5969,50,41,9,21.95
Burlington County,Edgewater Park,8304,62,52,10,19.23
Burlington County,Evesham,45181,28,19,9,47.37
Burlington County,Fieldsboro,538,36,34,2,5.88
Burlington County,Florence,11988,41,28,13,46.43
Burlington County,Hainesport,6023,32,14,18,128.57
Burlington County,Lumberton,12364,50,41,9,21.95
Burlington County,Mansfield,8491,41,12,29,241.67
Burlington County,Maple Shade,18530,43,34,9,26.47
Burlington County,Medford Lakes,4130,8,5,3,60.00
Burlington County,Medford,22903,15,8,7,87.50
Burlington County,Moorestown,20558,32,22,10,45.45
Burlington County,Mount Holly,9127,59,52,7,13.46
Burlington County,Mount Laurel,41446,40,26,14,53.85
Burlington County,New Hanover,6924,69,64,5,7.81
Burlington County,North Hanover,7440,44,38,6,15.79
Burlington County,Palmyra,7254,40,35,5,14.29
Burlington County,Pemberton Borough,1365,52,44,8,18.18
Burlington County,Pemberton Township,27075,58,56,2,3.57
Burlington County,Riverside,7510,40,21,19,90.48
Burlington County,Riverton,2766,15,10,5,50.00
Burlington County,Shamong,6473,10,7,3,42.86
Burlington County,Southampton,10413,14,8,6,75.00
Burlington County,Springfield,3373,22,18,4,22.22
Burlington County,Tabernacle,6884,11,9,2,22.22
Burlington County,Washington Township,662,21,35,-14,-40.00
Burlington County,Westampton,8614,61,50,11,22.00
Burlington County,Willingboro,30641,50,53,-3,-5.66
Burlington County,Woodland,1780,26,6,20,333.33
Burlington County,Wrightstown,652,75,68,7,10.29
Camden County,Audubon,8739,13,7,6,85.71
Camden County,Audubon Park,1022,8,3,5,166.67
Camden County,Barrington,6881,26,19,7,36.84
Camden County,Bellmawr,11191,31,17,14,82.35
Camden County,Berlin Borough,7521,21,14,7,50.00
Camden County,Berlin Township,5154,44,35,9,25.71
Camden County,Brooklawn,1915,29,22,7,31.82
Camden County,Camden,56021,75,72,3,4.17
Camden County,Cherry Hill,69743,42,30,12,40.00
Camden County,Chesilhurst,1520,64,56,8,14.29
Camden County,Clementon,4805,52,33,19,57.58
Camden County,Collingswood,13367,39,29,10,34.48
Camden County,Gibbsboro,2254,19,14,5,35.71
Camden County,Gloucester City,11247,25,8,17,212.50
Camden County,Gloucester Township,63451,44,32,12,37.50
Camden County,Haddon Heights,7433,13,5,8,160.00
Camden County,Haddon Township,14544,18,11,7,63.64
Camden County,Haddonfield,11543,12,9,3,33.33
Camden County,Hi-Nella,821,51,48,3,6.25
Camden County,Laurel Springs,1883,18,12,6,50.00
Camden County,Lawnside,2896,25,16,9,56.25
Camden County,Lindenwold,15791,71,58,13,22.41
Camden County,Magnolia,4245,47,41,6,14.63
Camden County,Merchantville,3652,47,29,18,62.07
Camden County,Mount Ephraim,4570,18,7,11,157.14
Camden County,Oaklyn,3978,21,11,10,90.91
Camden County,Pennsauken,31008,75,62,13,20.97
Camden County,Pine Hill,9987,53,41,12,29.27
Camden County,Pine Valley,10,28,0,28,100.00
Camden County,Runnemede,8283,27,19,8,42.11
Camden County,Somerdale,4993,54,43,11,25.58
Camden County,Stratford,6845,36,26,10,38.46
Camden County,Tavistock,5,0,15,-15,-100.00
Camden County,Voorhees,28885,48,39,9,23.08
Camden County,Waterford,10483,22,16,6,37.50
Camden County,Winslow,38327,61,51,10,19.61
Camden County,Woodlynne,2290,82,74,8,10.81
Cape May County,Avalon,1332,8,4,4,100.00
Cape May County,Cape May,3524,30,20,10,50.00
Cape May County,Cape May Point,290,11,13,-2,-15.38
Cape May County,Dennis,6446,9,7,2,28.57
Cape May County,Lower,22591,16,10,6,60.00
Cape May County,Middle,18538,34,28,6,21.43
Cape May County,North Wildwood,3990,15,9,6,66.67
Cape May County,Ocean,11477,21,15,6,40.00
Cape May County,Sea Isle,2104,6,6,0,0.00
Cape May County,Stone Harbor,860,11,3,8,266.67
Cape May County,Upper,12284,10,7,3,42.86
Cape May County,West Cape May,992,28,29,-1,-3.45
Cape May County,West Wildwood,599,13,11,2,18.18
Cape May County,Wildwood,4460,61,55,6,10.91
Cape May County,Wildwood Crest,3211,19,13,6,46.15
Cape May County,Woodbine,2168,67,67,0,0.00
Cumberland County,Bridgeton,18831,79,72,7,9.72
Cumberland County,Commercial,5099,35,33,2,6.06
Cumberland County,Deerfield,2888,51,41,10,24.39
Cumberland County,Downe,1559,18,21,-3,-14.29
Cumberland County,Fairfield,6007,69,65,4,6.15
Cumberland County,Greenwich,799,20,21,-1,-4.76
Cumberland County,Hopewell,4423,34,27,7,25.93
Cumberland County,Lawrence,3125,41,36,5,13.89
Cumberland County,Maurice River,7702,60,59,1,1.69
Cumberland County,Millville,26912,57,46,11,23.91
Cumberland County,Shiloh,513,18,15,3,20.00
Cumberland County,Stow Creek,1417,22,14,8,57.14
Cumberland County,Upper Deerfield,7248,47,43,4,9.30
Cumberland County,Vineland,52883,67,63,4,6.35
Gloucester County,Clayton,8049,46,38,8,21.05
Gloucester County,Deptford,29939,41,31,10,32.26
Gloucester County,East Greenwich,9499,25,12,13,108.33
Gloucester County,Elk,4144,39,33,6,18.18
Gloucester County,Franklin,16646,26,22,4,18.18
Gloucester County,Glassboro,17999,49,43,6,13.95
Gloucester County,Greenwich,4879,16,13,3,23.08
Gloucester County,Harrison,12358,22,12,10,83.33
Gloucester County,Logan,5974,36,33,3,9.09
Gloucester County,Mantua,15117,15,10,5,50.00
Gloucester County,Monroe,35572,39,29,10,34.48
Gloucester County,National Park,3032,11,5,6,120.00
Gloucester County,Newfield,1538,20,14,6,42.86
Gloucester County,Paulsboro,5954,62,53,9,16.98
Gloucester County,Pitman,8953,11,8,3,37.50
Gloucester County,South Harrison,3132,19,15,4,26.67
Gloucester County,Swedesboro,2339,55,44,11,25.00
Gloucester County,Washington Township,48144,27,21,6,28.57
Gloucester County,Wenonah,2273,9,6,3,50.00
Gloucester County,West Deptford,21490,24,17,7,41.18
Gloucester County,Westville,4189,25,15,10,66.67
Gloucester County,Woodbury,9849,57,45,12,26.67
Gloucester County,Woodbury Heights,3044,17,9,8,88.89
Gloucester County,Woolwich,10120,36,20,16,80.00
Salem County,Alloway,3446,18,20,-2,-10.00
Salem County,Carneys Point,7594,48,38,10,26.32
Salem County,Elmer,1377,15,7,8,114.29
Salem County,Elsinboro,1025,15,10,5,50.00
Salem County,Lower Alloways Creek,1768,9,8,1,12.50
Salem County,Mannington,1735,47,40,7,17.50
Salem County,Oldmans,1732,30,27,3,11.11
Salem County,Penns Grove,4509,74,66,8,12.12
Salem County,Pennsville,13285,14,9,5,55.56
Salem County,Pilesgrove,3987,20,30,-10,-33.33
Salem County,Pittsgrove,9262,27,25,2,8.00
Salem County,Quinton,2634,35,32,3,9.38
Salem County,Salem,5051,56,57,-1,-1.75
Salem County,Upper Pittsgrove,3473,14,13,1,7.69
Salem County,Woodstown,3460,37,28,9,32.14
